iter	Accuracy	MultiClass
615	0.8212634139	0.4909521414
616	0.8214562234	0.4907668133
617	0.8215190992	0.4906236018
618	0.8215152108	0.4904673858
619	0.8216761604	0.4903264058
620	0.8216778777	0.4901891859
621	0.8218290765	0.4900655903
622	0.8218024318	0.4899040266
623	0.8217910121	0.4897987679
624	0.8220024791	0.489664418
625	0.8219275037	0.489505777
626	0.8220650151	0.4893660667
627	0.8222997424	0.4891932977
628	0.8223422591	0.4890752204
629	0.8223887935	0.4889816336
630	0.8225546185	0.4888122913
631	0.8227268909	0.488613207
632	0.8227657783	0.4884079217
633	0.8226683864	0.488253661
634	0.8226467466	0.4881357984
635	0.8227956776	0.4879941324
636	0.8228997432	0.4878441037
637	0.82298191	0.487726925
638	0.8230383246	0.4875850452
639	0.8231063347	0.4874544403
640	0.823066474	0.4873256459
641	0.8230537273	0.4871652481
642	0.8232870929	0.4869646083
643	0.8233739574	0.4868630185
644	0.8234414982	0.4867733418
645	0.8233412397	0.4866543435
646	0.8234314075	0.4864951667
647	0.8233596385	0.4863712736
648	0.8233871408	0.4861764967
649	0.8235839679	0.4860739745
650	0.8236433785	0.4859515593
651	0.8235314416	0.4858508896
652	0.8235454689	0.4857558607
653	0.8238260489	0.4855656654
654	0.8235952097	0.4854945601
655	0.8235532108	0.4854155053
656	0.8237157789	0.4852883697
657	0.8237110813	0.4851910305
658	0.8237307122	0.4850550422
659	0.8237936364	0.4849650065
660	0.8238611288	0.4848712802
661	0.8239282812	0.4847896702
662	0.8239277654	0.4846704505
663	0.8240391846	0.4845227102
664	0.8240700228	0.4843978484
665	0.824327636	0.4842187773
666	0.8242905123	0.4840431277
667	0.824346587	0.4839402002
668	0.8242807151	0.4837893441
669	0.8244098857	0.4836685716
670	0.8244995357	0.4835736263
671	0.8244524508	0.4834363119
672	0.8245660082	0.4832696339
673	0.8245836786	0.4831754906
674	0.8247171259	0.4830709887
675	0.8246549783	0.4829674962
676	0.824690093	0.4828817182
677	0.8247818812	0.4827698417
678	0.8249258075	0.4826817645
679	0.8248317515	0.4825749959
680	0.8249065648	0.4824606345
681	0.8250340201	0.482304163
682	0.8250161392	0.4821835467
683	0.8250737514	0.4820998584
684	0.8250673365	0.4820101476
685	0.8251171258	0.4818670776
686	0.8250670449	0.4817408893
687	0.8251084934	0.481552823
688	0.8251070833	0.4814599085
689	0.8253512196	0.481311163
690	0.8253446772	0.4812064344
691	0.8255364649	0.4810522717
692	0.825522227	0.4809064244
693	0.825596652	0.4807767103
694	0.8255298878	0.4806563304
695	0.8256604685	0.4804885593
696	0.8257371613	0.4803818962
697	0.825803796	0.4802513653
698	0.8257991794	0.4801405146
699	0.825691778	0.4800162157
